,city,links,link_type
0,alameda,['http://library.municode.com/index.aspx?clientId=16753&stateId=5&stateName=California'],municode
1,alamedacounty,"['http://www.municode.com/Resources/gateway.asp?pid=16186&sid=5', 'http://www.municode.com/Resources/gateway.asp?pid=16425&sid=5']",municode
2,albany,['http://clerkshq.com/default.ashx?clientsite=albany-ca'],other
3,americancanyon,['http://qcode.us/codes/americancanyon/'],qcode
4,antioch,['http://www.amlegal.com/antioch_ca/'],amlegal
5,atherton,['http://www.codepublishing.com/CA/atherton.html'],codepub
6,belmont,['http://www.municode.com/resources/gateway.asp?pid=10411&sid=5'],municode
7,belvedere,['http://www.cityofbelvedere.org/index.aspx?NID=92'],other
8,benicia,['http://www.codepublishing.com/ca/benicia/'],codepub
9,berkeley,['https://www.codepublishing.com/CA/Berkeley/'],codepub
10,brentwood,['http://qcode.us/codes/brentwood/'],qcode
11,brisbane,['http://library.municode.com/index.aspx?clientId=16223&stateId=5&stateName=California'],municode
12,burlingame,['http://qcode.us/codes/burlingame/'],qcode
13,calistoga,['http://www.codepublishing.com/ca/calistoga/'],codepub
14,campbell,['http://www.municode.com/Resources/gateway.asp?pid=16242&sid=5'],municode
15,clayton,['http://www.ci.clayton.ca.us/municode/'],municode
16,cloverdale,['http://www.codepublishing.com/CA/Cloverdale.html'],codepub
17,colma,['http://www.colma.ca.gov/index.php?option=com_docman&task=cat_view&gid=68&Itemid=73'],other
18,concord,['http://www.ci.concord.ca.us/citygov/municode/municodeindex.htm'],municode
19,contracostacounty,['http://www.municode.com/Resources/gateway.asp?pid=16286&sid=5'],municode
20,cotati,['http://www.codepublishing.com/CA/Cotati/'],codepub
21,cupertino,['http://www.amlegal.com/cupertino_ca/'],amlegal
22,dalycity,['http://library.municode.com/index.aspx?clientId=16311&stateId=5&stateName=California'],municode
23,danville,['http://www.amlegal.com/danville_ca/'],amlegal
24,dixon,['http://www.ci.dixon.ca.us/Archive.aspx?AMID=62'],other
25,dublin,['http://www.codepublishing.com/ca/dublin.html'],codepub
26,eastpaloalto,['http://www.municode.com/Resources/gateway.asp?pid=16328&sid=5'],municode
27,elcerrito,['http://www.municode.com/Resources/gateway.asp?pid=16333&sid=5'],municode
28,emeryville,['http://www.codepublishing.com/ca/emeryville/'],codepub
29,fairfax,['http://www.amlegal.com/library/ca/fairfax.shtml'],amlegal
30,fairfield,['http://www.codepublishing.com/ca/fairfield/'],codepub
31,fostercity,['http://www.codepublishing.com/CA/FosterCity/'],codepub
32,fremont,['http://www.fremont.gov/index.aspx?NID=73'],other
33,gilroy,['http://www.cityofgilroy.org/cityofgilroy/online_services/municipal_code/default.aspx'],other
34,halfmoonbay,['http://www.codepublishing.com/CA/halfmoonbay/'],codepub
35,hayward,['http://www.hayward-ca.gov/CITY-GOVERNMENT/DEPARTMENTS/CITY-CLERK/index.shtm?tab=3#oo'],other
36,healdsburg,['http://www.ci.healdsburg.ca.us/index.aspx?page=196'],other
37,hercules,['http://www.codepublishing.com/CA/hercules/'],codepub
38,hillsborough,['http://library.municode.com/index.aspx?clientId=16404'],municode
39,lafayette,['http://www.municode.com/Resources/gateway.asp?pid=16435&sid=5'],municode
40,larkspur,['http://www.codepublishing.com/ca/larkspur.html'],codepub
41,livermore,['http://www.codepublishing.com/CA/Livermore.html'],codepub
42,losaltos,['http://www.municode.com/Resources/gateway.asp?pid=16460&sid=5'],municode
43,losaltoshills,['http://qcode.us/codes/losaltoshills/'],qcode
44,losgatos,['http://www.municode.com/resources/gateway.asp?pid=11760&sid=5'],municode
45,marincounty,['http://www.municode.com/Resources/gateway.asp?pid=16476&sid=5'],municode
46,martinez,['http://www.municode.com/Resources/gateway.asp?pid=16716&sid=5'],municode
47,menlopark,['http://www.codepublishing.com/CA/menlopark/'],codepub
48,millvalley,['http://qcode.us/codes/millvalley/'],qcode
49,millbrae,['http://www.codepublishing.com/ca/millbrae.html'],codepub
50,milpitas,['http://www.municode.com/Resources/gateway.asp?pid=16491&sid=5'],municode
51,montesereno,['http://www.municode.com/Resources/gateway.asp?pid=16498&sid=5'],municode
52,moraga,['http://www.municode.com/Resources/gateway.asp?pid=16501&sid=5'],municode
53,morganhill,['http://www.municode.com/Resources/gateway.asp?pid=16502&sid=5'],municode
54,mountainview,['http://www.municode.com/Resources/gateway.asp?pid=16508&sid=5'],municode
55,napa,['http://qcode.us/codes/napa/'],qcode
56,napacounty,['http://library.municode.com/index.aspx?clientId=16513&stateId=5&stateName=California'],municode
57,newark,['http://www.municode.com/resources/gateway.asp?pid=16521&sid=5'],municode
58,novato,['http://www.municode.com/Resources/gateway.asp?pid=16532&sid=5'],municode
59,oakland,['http://www.municode.com/Resources/gateway.asp?pid=16308&sid=5'],municode
60,oakley,['http://www.codepublishing.com/CA/Oakley/'],codepub
61,orinda,['http://www.municode.com/Resources/gateway.asp?pid=16541&sid=5'],municode
62,pacifica,['http://www.municode.com/Resources/gateway.asp?pid=16544&sid=5'],municode
63,paloalto,['http://www.amlegal.com/library/ca/paloalto.shtml'],amlegal
64,petaluma,['http://www.codepublishing.com/ca/petaluma.html'],codepub
65,piedmont,['http://www.ci.piedmont.ca.us/citycode.shtml'],other
66,pinole,['http://www.amlegal.com/pinole_ca/'],amlegal
67,pittsburg,['http://www.codepublishing.com/ca/Pittsburg/'],codepub
68,pleasanthill,['http://www.codepublishing.com/CA/PleasantHill/'],codepub
69,pleasanton,['http://qcode.us/codes/pleasanton/'],qcode
70,portolavalley,['http://www.municode.com/resources/gateway.asp?pid=13781&sid=5'],municode
71,redwoodcity,"['http://www.redwoodcity.org/government/charter.html', 'http://www.municode.com/Resources/gateway.asp?pid=16574&sid=5', 'http://www.municode.com/Resources/gateway.asp?pid=16091&sid=5']",other
72,richmond,['http://www.municode.com/Resources/gateway.asp?pid=16579&sid=5'],municode
73,riovista,['http://qcode.us/codes/riovista/'],qcode
74,rohnertpark,['http://www.municode.com/Resources/gateway.asp?pid=16586&sid=5'],municode
75,ross,['http://www.townofross.org/pages/resource_center/municipal_code.html'],other
76,sananselmo,['http://library.municode.com/index.aspx?clientId=16603&stateId=5&stateName=California'],municode
77,sanbruno,['http://qcode.us/codes/sanbruno/'],qcode
78,sancarlos,['http://www.codepublishing.com/CA/sancarlos/'],codepub
